priority,batch_id,status,response_exists,slide_count,sources,first_slide,last_slide,notes
1,batch_058,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_024.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_028.png,Roland Berger priority
1,batch_059,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_029.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_033.png,Roland Berger priority
1,batch_060,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_034.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_038.png,Roland Berger priority
1,batch_061,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_039.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_043.png,Roland Berger priority
1,batch_062,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_044.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_048.png,Roland Berger priority
1,batch_063,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_049.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_053.png,Roland Berger priority
1,batch_064,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_054.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_058.png,Roland Berger priority
1,batch_065,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_059.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_063.png,Roland Berger priority
1,batch_066,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_064.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_068.png,Roland Berger priority
1,batch_067,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_069.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_073.png,Roland Berger priority
1,batch_068,labeled,true,5,Roland Berger,roland_berger_trend_compendium_2050_technology_and_innovation_slide_074.png,roland_berger_trend_compendium_2050_technology_and_innovation_slide_078.png,Roland Berger priority
1,batch_069,labeled,true,5,Roland Berger; World Bank,roland_berger_trend_compendium_2050_technology_and_innovation_slide_079.png,worldbank_2024_slide_001.png,Roland Berger priority
2,batch_004,labeled,true,5,BCG,bcg_how-cpg-retail-leaders-maximize-ai-roi_slide_001.png,bcg_how-cpg-retail-leaders-maximize-ai-roi_slide_005.png,
2,batch_005,labeled,true,5,BCG,bcg_how-cpg-retail-leaders-maximize-ai-roi_slide_006.png,bcg_how-cpg-retail-leaders-maximize-ai-roi_slide_010.png,
2,batch_006,labeled,true,5,BCG,bcg_how-cpg-retail-leaders-maximize-ai-roi_slide_011.png,bcg_how-cpg-retail-leaders-maximize-ai-roi_slide_015.png,
3,batch_001,labeled,true,5,Accenture,accenture_Accenture-Banking-Top-10-Trends-2024_slide_001.png,accenture_Accenture-Banking-Top-10-Trends-2024_slide_005.png,
3,batch_002,labeled,true,5,Accenture,accenture_Accenture-Banking-Top-10-Trends-2024_slide_006.png,accenture_Accenture-Banking-Top-10-Trends-2024_slide_010.png,
3,batch_003,labeled,true,5,Accenture,accenture_Accenture-Banking-Top-10-Trends-2024_slide_011.png,accenture_Accenture-Banking-Top-10-Trends-2024_slide_015.png,
3,batch_007,labeled,true,5,IMF,imf_external-sector-report-2025_slide_001.png,imf_external-sector-report-2025_slide_005.png,
3,batch_008,labeled,true,5,IMF,imf_external-sector-report-2025_slide_006.png,imf_external-sector-report-2025_slide_010.png,
3,batch_009,labeled,true,5,IMF,imf_external-sector-report-2025_slide_011.png,imf_external-sector-report-2025_slide_015.png,
3,batch_010,labeled,true,5,IMF,imf_External-Sector-Reports_slide_001.png,imf_fd-june26-geoeconomics_slide_004.png,
3,batch_011,labeled,true,5,IMF,imf_fd-june26-geoeconomics_slide_005.png,imf_fd-june26-geoeconomics_slide_009.png,
3,batch_012,labeled,true,5,IMF,imf_fd-june26-geoeconomics_slide_010.png,imf_fd-june26-geoeconomics_slide_014.png,
3,batch_013,labeled,true,5,IMF,imf_FiscalMonitor_2024_Oct_slide_001.png,imf_fd-june26-geoeconomics_slide_015.png,
3,batch_014,labeled,true,5,IMF,imf_FiscalMonitor_2024_Oct_slide_005.png,imf_FiscalMonitor_2024_Oct_slide_009.png,
3,batch_015,labeled,true,5,IMF,imf_FiscalMonitor_2024_Oct_slide_010.png,imf_FiscalMonitor_2024_Oct_slide_014.png,
3,batch_016,labeled,true,5,IMF,imf_FiscalMonitor_2024_Oct_slide_015.png,imf_GFSR_2023_Oct_slide_004.png,
3,batch_017,labeled,true,5,IMF,imf_GFSR_2023_Oct_slide_005.png,imf_GFSR_2023_Oct_slide_009.png,
3,batch_018,labeled,true,5,IMF,imf_GFSR_2023_Oct_slide_010.png,imf_GFSR_2023_Oct_slide_014.png,
3,batch_019,labeled,true,5,IMF,imf_GFSR_2023_Oct_slide_015.png,imf_GFSR_2024_Oct_slide_004.png,
3,batch_020,labeled,true,5,IMF,imf_GFSR_2024_Oct_slide_005.png,imf_GFSR_2024_Oct_slide_009.png,
3,batch_021,labeled,true,5,IMF,imf_GFSR_2024_Oct_slide_010.png,imf_GFSR_2024_Oct_slide_014.png,
3,batch_022,labeled,true,5,IMF,imf_GFSR_2024_Oct_slide_015.png,imf_REO_APD_2024_slide_004.png,
3,batch_023,labeled,true,5,IMF,imf_REO_APD_2024_slide_005.png,imf_REO_APD_2024_slide_009.png,
3,batch_024,labeled,true,5,IMF,imf_REO_APD_2024_slide_010.png,imf_REO_APD_2024_slide_014.png,
3,batch_025,labeled,true,5,IMF,imf_REO_APD_2024_slide_015.png,imf_text_ashx_slide_004.png,
3,batch_026,labeled,true,5,IMF,imf_text_ashx_slide_005.png,imf_text_ashx_slide_009.png,
3,batch_027,labeled,true,5,IMF,imf_text_ashx_slide_010.png,imf_text_ashx_slide_014.png,
3,batch_028,labeled,true,5,IMF,imf_WEO_2023_Oct_slide_001.png,imf_text_ashx_slide_015.png,
3,batch_029,labeled,true,5,IMF,imf_WEO_2023_Oct_slide_005.png,imf_WEO_2023_Oct_slide_009.png,
3,batch_030,labeled,true,5,IMF,imf_WEO_2023_Oct_slide_010.png,imf_WEO_2023_Oct_slide_014.png,
3,batch_031,labeled,true,5,IMF,imf_WEO_2023_Oct_slide_015.png,imf_WEO_2024_Apr_slide_004.png,
3,batch_032,labeled,true,5,IMF,imf_WEO_2024_Apr_slide_005.png,imf_WEO_2024_Apr_slide_009.png,
3,batch_033,labeled,true,5,IMF,imf_WEO_2024_Apr_slide_010.png,imf_WEO_2024_Apr_slide_014.png,
3,batch_034,labeled,true,5,IMF,imf_WEO_2024_Apr_slide_015.png,imf_WEO_2024_Oct_slide_004.png,
3,batch_035,labeled,true,5,IMF,imf_WEO_2024_Oct_slide_005.png,imf_WEO_2024_Oct_slide_009.png,
3,batch_036,labeled,true,5,IMF,imf_WEO_2024_Oct_slide_010.png,imf_WEO_2024_Oct_slide_014.png,
3,batch_070,labeled,true,5,World Bank,worldbank_2024_slide_002.png,worldbank_2024_slide_006.png,
3,batch_071,labeled,true,5,World Bank,worldbank_Algeria_Economic_Update_-_A_Holistic_Framework_f_slide_001.png,worldbank_Algeria_Economic_Update_-_A_Holistic_Framework_f_slide_005.png,
3,batch_072,labeled,true,5,World Bank,worldbank_Algeria_Economic_Update_-_A_Holistic_Framework_f_slide_006.png,worldbank_Algeria_Economic_Update_-_A_Holistic_Framework_f_slide_010.png,
3,batch_073,labeled,true,5,World Bank,worldbank_Algeria_Economic_Update_-_A_Holistic_Framework_f_slide_011.png,worldbank_Algeria_Economic_Update_-_A_Holistic_Framework_f_slide_015.png,
3,batch_074,labeled,true,5,World Bank,worldbank_CEMAC_Economic_Barometer_Vol_7_slide_001.png,worldbank_CEMAC_Economic_Barometer_Vol_7_slide_005.png,
3,batch_075,labeled,true,5,World Bank,worldbank_CEMAC_Economic_Barometer_Vol_7_slide_006.png,worldbank_CEMAC_Economic_Barometer_Vol_7_slide_010.png,
3,batch_076,labeled,true,5,World Bank,worldbank_CEMAC_Economic_Barometer_Vol_7_slide_011.png,worldbank_CEMAC_Economic_Barometer_Vol_7_slide_015.png,
3,batch_077,labeled,true,5,World Bank,worldbank_Charting_the_Course_A_Water_Security_Diagnosti_slide_001.png,worldbank_Charting_the_Course_A_Water_Security_Diagnosti_slide_005.png,
3,batch_078,labeled,true,5,World Bank,worldbank_Charting_the_Course_A_Water_Security_Diagnosti_slide_006.png,worldbank_Charting_the_Course_A_Water_Security_Diagnosti_slide_010.png,
3,batch_079,labeled,true,5,World Bank,worldbank_Charting_the_Course_A_Water_Security_Diagnosti_slide_011.png,worldbank_Charting_the_Course_A_Water_Security_Diagnosti_slide_015.png,
3,batch_080,labeled,true,5,World Bank,worldbank_China_Economic_Update_Reviving_Demand_Regaini_slide_001.png,worldbank_China_Economic_Update_Reviving_Demand_Regaini_slide_005.png,
3,batch_081,labeled,true,5,World Bank,worldbank_China_Economic_Update_Reviving_Demand_Regaini_slide_006.png,worldbank_China_Economic_Update_Reviving_Demand_Regaini_slide_010.png,
3,batch_082,labeled,true,5,World Bank,worldbank_China_Economic_Update_Reviving_Demand_Regaini_slide_011.png,worldbank_China_Economic_Update_Reviving_Demand_Regaini_slide_015.png,
3,batch_083,labeled,true,5,World Bank,worldbank_Commodity_Markets_Outlook_October_2024_slide_001.png,worldbank_Commodity_Markets_Outlook_October_2024_slide_005.png,
3,batch_084,labeled,true,5,World Bank,worldbank_Commodity_Markets_Outlook_October_2024_slide_006.png,worldbank_Commodity_Markets_Outlook_October_2024_slide_010.png,
3,batch_085,labeled,true,5,World Bank,worldbank_Commodity_Markets_Outlook_October_2024_slide_011.png,worldbank_Commodity_Markets_Outlook_October_2024_slide_015.png,
3,batch_086,labeled,true,5,World Bank,worldbank_Government_Health_Spending_Outlook_-_Projections_slide_001.png,worldbank_Government_Health_Spending_Outlook_-_Projections_slide_005.png,
3,batch_087,labeled,true,5,World Bank,worldbank_Government_Health_Spending_Outlook_-_Projections_slide_006.png,worldbank_Government_Health_Spending_Outlook_-_Projections_slide_010.png,
3,batch_088,labeled,true,5,World Bank,worldbank_Government_Health_Spending_Outlook_-_Projections_slide_011.png,worldbank_Government_Health_Spending_Outlook_-_Projections_slide_015.png,
3,batch_089,labeled,true,5,World Bank,worldbank_Government_Health_Spending_Outlook_Projections_slide_001.png,worldbank_Government_Health_Spending_Outlook_Projections_slide_005.png,
3,batch_090,labeled,true,5,World Bank,worldbank_Government_Health_Spending_Outlook_Projections_slide_006.png,worldbank_Government_Health_Spending_Outlook_Projections_slide_010.png,
3,batch_091,labeled,true,5,World Bank,worldbank_Government_Health_Spending_Outlook_Projections_slide_011.png,worldbank_Government_Health_Spending_Outlook_Projections_slide_015.png,
3,batch_092,labeled,true,5,World Bank,worldbank_Gulf_Economic_Update_Navigating_the_Water_Chal_slide_001.png,worldbank_Gulf_Economic_Update_Navigating_the_Water_Chal_slide_005.png,
3,batch_093,labeled,true,5,World Bank,worldbank_Gulf_Economic_Update_Navigating_the_Water_Chal_slide_006.png,worldbank_Gulf_Economic_Update_Navigating_the_Water_Chal_slide_010.png,
3,batch_094,labeled,true,5,World Bank,worldbank_Gulf_Economic_Update_Navigating_the_Water_Chal_slide_011.png,worldbank_Gulf_Economic_Update_Navigating_the_Water_Chal_slide_015.png,
3,batch_095,labeled,true,5,World Bank,worldbank_Haiti_-_Joint_World_Bank-IMF_Debt_Sustainability_slide_001.png,worldbank_Haiti_-_Joint_World_Bank-IMF_Debt_Sustainability_slide_005.png,
3,batch_096,labeled,true,5,World Bank,worldbank_Haiti_-_Joint_World_Bank-IMF_Debt_Sustainability_slide_006.png,worldbank_Haiti_-_Joint_World_Bank-IMF_Debt_Sustainability_slide_010.png,
3,batch_097,labeled,true,5,World Bank,worldbank_Haiti_-_Joint_World_Bank-IMF_Debt_Sustainability_slide_011.png,worldbank_Haiti_-_Joint_World_Bank-IMF_Debt_Sustainability_slide_015.png,
3,batch_098,labeled,true,5,World Bank,worldbank_Honduras_-_Joint_World_Bank-IMF_Debt_Sustainabil_slide_001.png,worldbank_Honduras_-_Joint_World_Bank-IMF_Debt_Sustainabil_slide_005.png,
3,batch_099,labeled,true,5,World Bank,worldbank_Honduras_-_Joint_World_Bank-IMF_Debt_Sustainabil_slide_006.png,worldbank_Honduras_-_Joint_World_Bank-IMF_Debt_Sustainabil_slide_010.png,
3,batch_100,labeled,true,5,World Bank,worldbank_Honduras_-_Joint_World_Bank-IMF_Debt_Sustainabil_slide_011.png,worldbank_Honduras_-_Joint_World_Bank-IMF_Debt_Sustainabil_slide_015.png,
3,batch_101,labeled,true,5,World Bank,worldbank_Lebanon_Economic_Monitor_-_Fall_2024_Mounting_slide_001.png,worldbank_Lebanon_Economic_Monitor_-_Fall_2024_Mounting_slide_005.png,
3,batch_102,labeled,true,5,World Bank,worldbank_Lebanon_Economic_Monitor_-_Fall_2024_Mounting_slide_006.png,worldbank_Lebanon_Economic_Monitor_-_Fall_2024_Mounting_slide_010.png,
3,batch_103,labeled,true,5,World Bank,worldbank_Lebanon_Economic_Monitor_-_Fall_2024_Mounting_slide_011.png,worldbank_Lebanon_Economic_Monitor_-_Fall_2024_Mounting_slide_015.png,
3,batch_104,labeled,true,5,World Bank,worldbank_Libya_Economic_Monitor_Stabilizing_Growth_and_slide_001.png,worldbank_Libya_Economic_Monitor_Stabilizing_Growth_and_slide_005.png,
3,batch_105,labeled,true,5,World Bank,worldbank_Libya_Economic_Monitor_Stabilizing_Growth_and_slide_006.png,worldbank_Libya_Economic_Monitor_Stabilizing_Growth_and_slide_010.png,
3,batch_106,labeled,true,5,World Bank,worldbank_Libya_Economic_Monitor_Stabilizing_Growth_and_slide_011.png,worldbank_Libya_Economic_Monitor_Stabilizing_Growth_and_slide_015.png,
3,batch_107,labeled,true,5,World Bank,worldbank_Philippines_Economic_Update_First_Steps_Matter_slide_001.png,worldbank_Philippines_Economic_Update_First_Steps_Matter_slide_005.png,
3,batch_108,labeled,true,5,World Bank,worldbank_Philippines_Economic_Update_First_Steps_Matter_slide_006.png,worldbank_Philippines_Economic_Update_First_Steps_Matter_slide_010.png,
3,batch_109,labeled,true,5,World Bank,worldbank_Philippines_Economic_Update_First_Steps_Matter_slide_011.png,worldbank_Philippines_Economic_Update_First_Steps_Matter_slide_015.png,
3,batch_110,labeled,true,5,World Bank,worldbank_South_Africa_Economic_Update_Learning_-_Overdu_slide_001.png,worldbank_South_Africa_Economic_Update_Learning_-_Overdu_slide_005.png,
3,batch_111,labeled,true,5,World Bank,worldbank_South_Africa_Economic_Update_Learning_-_Overdu_slide_006.png,worldbank_South_Africa_Economic_Update_Learning_-_Overdu_slide_010.png,
3,batch_112,labeled,true,5,World Bank,worldbank_South_Africa_Economic_Update_Learning_-_Overdu_slide_011.png,worldbank_South_Africa_Economic_Update_Learning_-_Overdu_slide_015.png,
3,batch_113,labeled,true,5,World Bank,worldbank_Taking_Stock_March_2025_-_Electrifying_Journeys_slide_001.png,worldbank_Taking_Stock_March_2025_-_Electrifying_Journeys_slide_005.png,
3,batch_114,labeled,true,5,World Bank,worldbank_Taking_Stock_March_2025_-_Electrifying_Journeys_slide_006.png,worldbank_Taking_Stock_March_2025_-_Electrifying_Journeys_slide_010.png,
3,batch_115,labeled,true,5,World Bank,worldbank_Taking_Stock_March_2025_-_Electrifying_Journeys_slide_011.png,worldbank_Taking_Stock_March_2025_-_Electrifying_Journeys_slide_015.png,
3,batch_116,labeled,true,5,World Bank,worldbank_The_Deepening_Red_Sea_Shipping_Crisis_Impacts_slide_001.png,worldbank_The_Deepening_Red_Sea_Shipping_Crisis_Impacts_slide_005.png,
3,batch_117,labeled,true,5,World Bank,worldbank_The_Deepening_Red_Sea_Shipping_Crisis_Impacts_slide_006.png,worldbank_The_Deepening_Red_Sea_Shipping_Crisis_Impacts_slide_010.png,
3,batch_118,labeled,true,5,World Bank,worldbank_The_Deepening_Red_Sea_Shipping_Crisis_Impacts_slide_011.png,worldbank_The_Deepening_Red_Sea_Shipping_Crisis_Impacts_slide_015.png,
3,batch_119,labeled,true,5,World Bank,worldbank_Tourism_Watch_January_2025_Edition_slide_001.png,worldbank_Tourism_Watch_January_2025_Edition_slide_005.png,
3,batch_120,labeled,true,5,World Bank,worldbank_Tourism_Watch_January_2025_Edition_slide_006.png,worldbank_Turkmenistan_-_Economic_Report_slide_004.png,
3,batch_121,labeled,true,5,World Bank,worldbank_Turkmenistan_-_Economic_Report_slide_005.png,worldbank_Turkmenistan_-_Economic_Report_slide_009.png,
3,batch_122,labeled,true,5,World Bank,worldbank_Turkmenistan_-_Economic_Report_slide_010.png,worldbank_Turkmenistan_-_Economic_Report_slide_014.png,
3,batch_123,labeled,true,5,World Bank,worldbank_Turkmenistan_-_Economic_Report_slide_015.png,worldbank_Uganda_Economic_Update_24th_Edition_Investing_slide_004.png,
3,batch_124,labeled,true,5,World Bank,worldbank_Uganda_Economic_Update_24th_Edition_Investing_slide_005.png,worldbank_Uganda_Economic_Update_24th_Edition_Investing_slide_009.png,
3,batch_125,labeled,true,5,World Bank,worldbank_Uganda_Economic_Update_24th_Edition_Investing_slide_010.png,worldbank_Uganda_Economic_Update_24th_Edition_Investing_slide_014.png,
3,batch_126,labeled,true,5,World Bank,worldbank_Uganda_Economic_Update_24th_Edition_Investing_slide_015.png,worldbank_unknown_slide_004.png,
3,batch_127,labeled,true,5,World Bank,worldbank_unknown_slide_005.png,worldbank_unknown_slide_009.png,
3,batch_128,labeled,true,5,World Bank,worldbank_unknown_slide_010.png,worldbank_unknown_slide_014.png,
3,batch_129,labeled,true,1,World Bank,worldbank_unknown_slide_015.png,worldbank_unknown_slide_015.png,
